Umgebung;Diverses;GebrauchtWarenMarkt;71665;Vaihingen an der Enz;Planckstraße;Planckstraße 5, 71665 Vaihingen an der Enz;5;;"Mittwoch: 15:00 - 19:00 Uhr
jeden 1. Samstag im Monat: 10:00 - 16:00 Uhr";;Auf über 500 m² Verkaufsfläche bietet der GebrauchtWarenMarkt gut erhaltene Haushaltsgegenstände, ein umfangreiches Bekleidungssortiment, Bücher sowie künstlerisch wertvolles und auch Kurioses an. Hier finden Sie diverse Produkte wie beispielsweise Elektrogeräte für den Haushalt.;On a sales area of over 500 m², the GebrauchtWarenMarkt offers well-preserved household items, an extensive clothing assortment, books as well as artistically valuable and curious items. Here you will find various products such as electrical appliances for the household.;أصدقاء السكك الحديدية بفورتسهايم موجودون بالفعل منذ ثلاثة عقود واستعادوا محطة سكة حديد قديمة في ديل ويسنشتاين منذ ذلك الحين يستخدمون هذا كناديز يتعامل النادي مع السكك الحديدية ويبحث باستمرار عن أعضاء جدد;;
Umgebung;Kleidung ;Findus - Das WerteHaus;75334;Straubenhardt;Dobler Straße;Dobler Str. 14, 75334 Straubenhardt;14;;"Freitag: 15:00 - 18:00 Uhr
Samstag: 10:00 - 13:00 Uhr";;Pullover, T-Shirts,  und vieles mehr bietet Findus in Straubenhardt. Hier finden Sie gebrauchte Kleidung, zum Teil auch von renommierten Marken für alle Jahreszeiten und für die ganze Familie. ;Sweaters, T-shirts, sweatshirts, pants and much more are available at Findus in Straubenhardt. Here you will find used clothes for all seasons and for the whole family for less money.;طافل متجر للمواد الغذائية المتنوعة خاص للأشخاص االحائزين للرخصة يمكنهم هناك التمويل بأسعار معقولة جدا ، الموادمن مختلف الشركات المتواجدة بالمنطقة;;
Innenstadt;Haushalt;Muggel's Schatztruhe;75177;Pforzheim - Nordstadt;Brettener Straße;Brettener Straße 13, 75177 Pforzheim - Nordstadt;13;;"Montag - Freitag:
10:00 - 17:00 Uhr";"Monday - Friday:
10:00 - 17:00 o'clock";In Muggel's Schatztruhe gibt es gebrauchte Produkte aller Art. Hier finden Sie zum Beispiel gebrauchte Klamotten für alle möglichen Anlässe. Darüber hinaus bietet dieser Laden eine Auswahl an Elektronikartikeln und Möbel an. ;In Muggel's Schatztruhe used products of all kinds are offered. There you will find, for example, clothes for all seasons. Besides, this store offers a selection of electronic products and furniture.; متجر منتجات مستخدمة بجميع أنواعها، ستجد هنا على سبيل المثال الملابس المستعملة لجميع أنواع المناسبات بالإضافة إلى ذلك، يقدم هذا المتجر مجموعة مختارة من الإلكترونيات والأثاث;;muggelsschatztruhe
Innenstadt;Freizeit;"Eisenbahnfreunde Pf
";75180;Pforzheim ;Belremstraße;Belremstraße 74, 75180 Pforzheim;74;;"Jeden 1. Sonntag im Monat,
05. und 06. Januar
jeweils 10:00 -18:00 Uhr
Vatertag 10:00 - 18:00 Uhr";"Every first Sunday of the month,
5th and 6th January: 10:00 - 18:00 o'clock
Father's Day: 10:00 - 18:00 o'clock
";Die Eisenbahnfreunde Pforzheim existieren bereits seit drei Jahrzehnten und haben einen alten Bahnhof in Dill-Weißenstein restauriert. Seitdem nutzen sie diesen als Vereinsheim. Der Verein beschäftigt sich mit Eisenbahnen und sucht stetig neue Mitglieder.;The Eisenbahnfreunde Pforzheim already exists for three decades and have restored an old railway station in Dill-Weißenstein. Since then, they use it as a clubhouse. The association deals with railways and is continually looking for new members.;أصدقاء السكك الحديدية بفورتسهايم موجودون بالفعل منذ ثلاثة عقود واستعادوا محطة سكة حديد قديمة في ديل ويسنشتاين منذ ذلك الحين يستخدمون هذا كناديز يتعامل النادي مع السكك الحديدية ويبحث باستمرار عن أعضاء جدد;;eisenbahnfreunde
Innenstadt;Lebensmittel;Oststadttafel;75175;Pforzheim;Zeppelinstraße;Zeppelinstr. 16, 75175 Pforzheim;16;;"Montag: 10:00 - 14:00 Uhr
Dienstag: 10:00 - 14:00 Uhr
Mittwoch: 9:30 - 13:30 Uhr
Donnerstag: 10:00 - 14:00 Uhr
Freitag: 9:30 - 13:30 Uhr ";"Monday: 10:00 - 14:00 o'clock
Tuesday: 10:00 - 14:00 o'clock
Wednesday: 9:30 - 13:30 o'clock
Thursday: 10:00 - 14:00 o'clock
Friday: 9:30 - 13:30 o'clock ";Die Tafel ist ein Lebensmittelladen für Besitzer des Pforzheimer Passes der Stufe F. Diese Menschen können dort sehr preisgünstig Lebensmittel einkaufen. Firmen aus der Region stellen die Lebensmittel kostenlos zur Verfügung, diese werden gegen einen geringen Betrag weitergegeben.;The Tafel is a grocery store for owners of the Pforzheimer Pass (level F). There, these people can buy cheap foods. Companies from the region donate food, which is passed on for little money.;طافل متجر للمواد الغذائية المتنوعة خاص للأشخاص االحائزين للرخصة يمكنهم هناك التمويل بأسعار معقولة جدا ، الموادمن مختلف الشركات المتواجدة بالمنطقة;Pforzheimpass der Stufe F, Foto;oststadttafel
Innenstadt;Lebensmittel;Brötzinger Tafel ;75179;Pforzheim;Kelterstraße;Kelterstr. 107, 75179 Pforzheim;107;;"Montag - Freitag:
10:00 - 14:00 Uhr
Mittwoch: geschlossen
";"Monday - Friday:
10:00 - 14:00 o'clock
Wednesday: closed
";Die Brötzinger Tafel ist eine ehrenamtliche und durch Spenden finanzierte Essensausgabe. Für wenig Geld erhält man die Möglichkeit verschiedene Lebensmittel zu erwerben.;The Brötzinger Tafel is an honorary and donation-funded food distribution. For little money, you get the possibility to buy different food.;هو التبرع الغذائي المتطوع بتمويل من التبرعات. مقابل القليل من المال تحصل على فرصة لشراء الأطعمة المختلفة;;broetzingertafel
Innenstadt;Freizeit;Wildpark Pforzheim;75175;Pforzheim;Tiefenbronner Straße;Tiefenbronner Str. 100, 75175 Pforzheim;100;Eintritt frei, Futter 1€;"Täglich
07:00 - 20:00 Uhr ";"Daily
07:00 to 20:00 o'clock";Der Wildpark ist eine der bekanntesten und populärsten Freizeitattraktionen in Pforzheim. Es handelt sich hierbei um einen Tierpark, indem hauptsächlich Tiere aus dem Schwarzwald und der Umgebung leben. Der Wildpark ist eine Attraktion für die ganze Familie. ;The Wildpark is one of the most popular and famous leisure attractions in Pforzheim. It is an animal park where mainly animals from the Black Forest and the surrounding can be found. The Wildpark is an attraction for the whole family.;هي واحدة من مناطق الجذب السياحي الأكثر شهرة وشعبية  بفورتسهايم. هذه حديقة حيوانات ،مؤجؤد بها بشكل رئيسي  الحيوانات الحية من الغابة السوداء والمنطقة المحيطة بها. وهي عامل جذب للعائلة بأكملها.;;wildpark
Innenstadt;Freizeit;Enzauenpark;75175;Pforzheim;Hohwiesenweg;Hohwiesenweg 34, 75175 Pforzheim;34;;Durchgehend geöffnet;Open all day;Der Enzauenpark ist der größte Park in Pforzheim. Hier kann man spazieren gehen, picknicken oder den Wasserspielplatz besuchen. Der Park liegt an der Enz und bietet im Sommer große Grünflächen und Spielplätze. Es gibt ein Restaurant, eine Go-Cart Bahn und einen Fußballplatz. ;The Enzauenpark is the largest park in Pforzheim. Here you can go for a walk, picnic or visit the Wasserspielplatz. The park is located on the river Enz and offers large green areas and playgrounds in summer. There is a restaurant, a go-cart track and a football pitch.;هي أكبر حديقة في بفورتسهايم. يمكنك هنا التنزه أو التنزه أو زيارة الملعب المائي. توفر الحديقة مناطق خضراء كبيرة وملاعب في فصل الصيف. يوجد مطعم ومسار للعربة وملعب لكرة القدم ;;enzauenpark
Innenstadt;Freizeit;Benckiserpark;75172;Pforzheim;Zerrenerstraße;Zerrennerstraße 49/A, 75172 Pforzheim;49/A;;Durchgehend geöffnet;Open all day;Der Benckiserpark befindet sich in der Stadtmitte von Pforzheim. Er ist, wie man so schön sagt: klein aber fein. Im Park finden in den Ferien oft Events für Kinder und Jugendliche statt. Es gibt auch einen Bolzplatz und einen Spielplatz.;The Benckiserpark is located in the centre of Pforzheim. Events for children and young people often take place in the park during the holidays. There is also a football field and a playground.;تقع في وسط بفورتسهايم هو، كما يقول المثل: صغيرة ولكنها جميلة. في الحديقة تقام فعاليات للأطفال والشباب في كثير من الأحيان خلال عطلة الاعياد. وهناك أيضا ملعب لكرة القدم;;benckiserpark
Innenstadt;Freizeit;Oststadtpark;75175;Pforzheim;Lindenstraße;Lindenstraße 89, 75175 Pforzheim;89;;Durchgehend geöffnet;Open all day;Der Oststadtpark ist eine kleine Grünfläche inmitten der Oststadt von Pforzheim. Der Park ist perfekt für Spaziergänge in der Mittagspause geeignet. Er beherbergt einen kleinen Spielplatz sowie einen Bolzplatz. Außerdem befindet sich im Park ein kleiner Friedhof.;The Oststadtpark is a small green area in the middle of the eastern city of Pforzheim. It offers the perfect possibility to go for a lunchtime walk. It houses a small playground and a football field. There is also a small graveyard in the park.;الحديقة هي منطقة خضراء صغيرة في وسط مدينة بفورتسهايم الشرقية. الحديقة مثالية للمشي خلال استراحة الغداء. ويضم ملعبًا صغيرًا وملعبًا لكرة القدم. هناك أيضا مقبرة صغيرة في الحديقة;;oststadtpark
